Rank,Country,Overall Score,Affordability,Availability,Quality and Safety,Sustainability and Adaptation,Life Exp,Obesity Rate,Ingredient Quality,Health Index,GDP,Health Exp.,HDI,Obese adults in Mil,Undernourished,"Cost of a healthy diet (CoHD), PPP dollar per person per day"
46,Vietnam,67.9,84,60.7,70.2,52.2,73.6,,,,429716969049.59,536.34,0.73,1.50,5.10,3.96
47,Jordan,66.2,85.3,59.8,55.4,58.9,74.215,35.5,,42.8,50813642348.67,738.52,0.74,2.70,2.00,3.45
48,Ecuador,65.6,70.8,59.3,69.4,62,77.894,19.9,,50.8,118844826000.00,971.25,0.77,3.40,2.50,2.99
49,Türkiye,65.3,58.4,65.3,78.5,61.2,78.475,32.1,,50,59887334844.07,1390.00,0.86,20.60,0.00,4.50
50,Kuwait,65.2,80,62.9,67.8,45.5,80.264,37.9,,36.8,161772221950.94,2908.25,0.85,1.30,0.00,2.89
51,Brazil,65.1,63,58.6,83.9,56.3,73.425,22.1,,51.2,2173665655937.27,1625.64,0.76,45.70,8.40,4.25
52,Dominican Republic,65,73.4,65,65.3,53.5,,,,,121444279313.93,1006.38,0.77,2.20,0.50,4.31
53,Bolivia,65,71.6,61.6,71.7,53.2,64.928,20.2,,29.9,45849832906.41,721.82,0.70,2.20,2.80,4.20
54,Argentina,64.8,62,63.4,85.5,49.4,76.064,28.3,,54.4,640591410663.88,2323.08,0.85,11.60,1.40,0.00
55,Belarus,64.5,67.8,61.9,69,58.5,73.246,24.5,,43.9,71857382745.61,1389.00,0.80,1.60,0.00,3.74
56,El Salvador,64.2,72.5,71.2,71.5,38.1,71.475,24.6,,40.8,34015620000.00,969.89,0.67,1.40,0.40,0.00
57,Morocco,63,74.6,42.9,73.1,60,74.973,26.1,,33.6,141109373209.41,515.76,0.70,5.60,2.60,3.14
58,Guatemala,62.8,65.2,56.7,61.3,67.9,68.674,21.2,,29.1,102050473863.64,665.34,0.63,2.90,2.30,3.31
59,South Africa,61.7,63.4,60.1,66.1,56.9,61.48,28.3,,45.8,377781600985.87,1209.89,0.72,12.30,4.90,3.74
60,Honduras,61.5,59.8,61.9,64.9,60,70.728,21.4,,26.2,34400509852.04,560.80,0.62,2.00,2.10,4.37
61,Serbia,61.4,81.5,49.3,72.6,37,74.137,21.5,,45,75187125426.74,2155.16,0.81,1.30,0.00,4.62
62,Tunisia,60.3,74.5,54.1,58.8,49.7,74.263,26.9,,31.5,48529595416.65,784.12,0.73,2.40,0.40,4.46
63,Indonesia,60.2,81.4,50.9,56.2,46.3,68.25,6.9,,50.4,1371171152331.16,483.01,0.71,21.60,19.90,4.64
64,Thailand,60.1,83.7,52.9,45.3,51.6,79.68,10,,68.2,514944993833.58,967.40,0.80,8.90,4.00,4.93
65,Colombia,60.1,64.6,54.6,63.3,56.9,73.659,22.3,,53.2,363540156234.87,1542.48,0.76,9.10,2.20,4.13
66,Azerbaijan,59.8,78.1,56.2,54.5,44.6,73.488,19.9,,34.7,72356176470.59,733.00,0.76,2.00,0.00,3.74
67,Philippines,59.3,71.5,55.2,65.3,41.8,72.187,6.4,,45.7,437146372729.94,522.00,0.71,6.50,6.90,4.10
68,Algeria,58.9,66.8,57.3,54.7,54.2,77.129,27.4,,26.2,239899491127.74,672.25,0.75,6.90,0.00,4.89
69,India,58.9,59.3,62.3,62.1,51.2,67.744,3.9,,42.8,3549918918777.53,236.00,0.64,71.40,194.60,3.36
70,Paraguay,58.6,74.3,47,76.3,32.8,70.475,20.3,,40.3,42956263543.95,1221.83,0.73,1.50,0.30,4.70
71,Ukraine,57.9,66.6,48.1,71.3,43.5,68.564,24.1,,38.9,178757021386.81,1082.00,0.73,7.70,2.30,0.00
72,Myanmar,57.6,62.1,53.5,64.4,49,65.7,,,,64815031669.10,254.00,0.61,2.80,2.90,4.56
73,Uzbekistan,57.5,52.7,56.4,64.6,57.9,71.674,16.6,,39,90889149306.73,674.00,0.73,6.80,0.00,5.67
74,Nepal,56.9,52.7,70.9,57.8,46.2,70.484,4.1,,34,40908073366.85,228.00,0.60,1.40,1.70,3.97
75,Tajikistan,56.7,59.8,56.3,56.5,53.1,71.6,,,,12060602008.85,351.00,0.68,1.40,0.90,3.90
76,Nicaragua,56.6,64.4,50.2,57.5,52.7,74.615,23.7,,36.3,17829215283.80,599.86,0.67,1.50,1.40,4.61
77,Egypt,56,65.2,54.2,45.9,55.8,70.159,32,,28, , ,0.73,30.40,9.40,4.55
78,Cambodia,55.7,74.3,54.5,54,33.9,69.896,3.9,,31.1,31772759998.86,360.33,0.60,0.50,0.80,4.50
